Designator,Footprint,Quantity,Value,LCSC Part #
A2,TMC2209_BTT,1,~,
"C1, C4",0805,2,100nF,
C2,CP_Elec_6.3x7.7,1,47uF 50V,
C3,0805,1,10uF,
"C5, C6",0805,2,22uF,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,
J3,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_Switch,
J4,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J5,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
L1,0805,1,4.7uH,
"R1, R2, R3",0805,3,10k,
R4,0805,1,1k,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,ATtiny204-SS,
U2,TSOT-23-6,1,AP63205WU,
