Designator,Mid X,Mid Y,Rotation,Layer
A2,12.954765,-18.355803,90.0,top
C1,11.398804,-27.189978,0.0,bottom
C2,10.473891,-17.276659,180.0,top
C3,8.21109,-20.844766,180.0,bottom
C4,10.40615,-16.020634,270.0,bottom
C5,13.181666,-19.951221,270.0,bottom
C6,11.149666,-19.951221,270.0,bottom
J1,4.96501,-34.316188,180.0,top
J2,12.982574,-3.966784,180.0,top
J3,13.718233,-46.477708,0.0,top
J4,22.541149,-35.928509,0.0,top
J5,5.020778,-41.757454,0.0,top
L1,12.445302,-15.999411,270.0,bottom
R1,15.256093,-20.002768,270.0,bottom
R2,17.325101,-20.002863,270.0,bottom
R3,19.37255,-20.002768,270.0,bottom
R4,18.458612,-35.340406,90.0,bottom
U1,11.468272,-32.778478,270.0,bottom
U2,7.628806,-17.679257,270.0,bottom
